meeting,order,gtSpeaker,apprOrdinal,tier,correct,bestSim,secondSim,marginGate,candLabel,callCount
ES2002a,0,FEE005,1,unknown,true,-2.0000,-2.0000,inf,,0
ES2002a,0,MEE008,1,unknown,true,0.2851,-2.0000,inf,,0
ES2002a,0,MEE006,1,unknown,true,0.4746,0.4176,inf,,0
ES2002b,1,MEE008,2,unknown,true,0.7400,0.6924,0.0476,,0
ES2002b,1,FEE005,2,suggest,true,0.8703,0.3341,inf,FEE005,1
ES2002b,1,MEE007,1,unknown,true,0.2062,0.1361,inf,,0
ES2002c,2,MEE008,3,suggest,true,0.8425,0.7322,0.1103,MEE008,2
ES2002c,2,FEE005,3,suggest,true,0.9447,0.4418,inf,FEE005,2
ES2002d,3,MEE008,4,suggest,true,0.8676,0.7484,0.1192,MEE008,3
ES2002d,3,FEE005,4,suggest,true,0.9441,0.5971,inf,FEE005,3
ES2003a,4,MEE009,1,unknown,true,0.3676,0.2608,inf,,0
ES2003a,4,MEE011,1,unknown,true,0.3809,0.3250,inf,,0
ES2003a,4,MEE012,1,unknown,true,0.6140,0.3564,inf,,0
ES2003a,4,MEE010,1,suggest,false,0.9716,0.6261,0.3456,MEE007,1
ES2003b,5,MEE009,2,suggest,true,0.8960,0.6119,0.2841,MEE009,1
ES2003b,5,MEE010,2,suggest,true,0.9356,0.6135,0.3221,MEE010,1
ES2003c,6,MEE009,3,suggest,true,0.8405,0.7064,0.1341,MEE009,2
ES2003d,7,MEE009,4,suggest,true,0.9189,0.5269,inf,MEE009,3
ES2003d,7,MEE010,3,suggest,true,0.9026,0.5962,inf,MEE010,2
ES2005a,8,MEE017,1,unknown,true,0.2581,0.2123,inf,,0
ES2005a,8,MEO020,1,unknown,true,0.2797,0.1678,inf,,0
ES2005a,8,FEE019,1,unknown,true,0.4613,0.4604,inf,,0
ES2005b,9,MEE017,2,suggest,true,0.8587,0.6545,0.2042,MEE017,1
ES2005c,10,FEE019,2,suggest,true,0.9378,0.5086,inf,FEE019,1
ES2005c,10,MEE017,3,suggest,true,0.9137,0.4461,inf,MEE017,2
ES2005c,10,MEO020,2,suggest,true,0.9013,0.3148,inf,MEO020,1
ES2005c,10,MEE018,1,unknown,true,0.6391,0.2683,inf,,0
ES2005d,11,MEE017,4,suggest,true,0.9324,0.6230,0.3095,MEE017,3
ES2005d,11,MEO020,3,suggest,true,0.9514,0.3277,inf,MEO020,2
ES2005d,11,FEE019,3,suggest,true,0.9194,0.5062,inf,FEE019,2
ES2006a,12,FEE021,1,unknown,true,0.4198,0.3691,inf,,0
ES2006a,12,FEE024,1,unknown,true,0.4591,0.2386,inf,,0
ES2006a,12,MEO022,1,unknown,true,0.3083,0.3042,inf,,0
ES2006a,12,FEO023,1,unknown,true,0.3548,0.2901,inf,,0
ES2006b,13,FEE024,2,suggest,true,0.7920,0.6803,0.1117,FEE024,1
ES2006b,13,MEO022,2,suggest,true,0.9359,0.3428,inf,MEO022,1
ES2006b,13,FEE021,2,suggest,true,0.9589,0.5191,inf,FEE021,1
ES2006c,14,MEO022,3,suggest,true,0.9615,0.3384,inf,MEO022,2
ES2006c,14,FEE024,3,suggest,true,0.9168,0.3655,inf,FEE024,2
ES2006c,14,FEO023,2,suggest,true,0.8927,0.3914,inf,FEO023,1
ES2006c,14,FEE021,3,suggest,true,0.9190,0.5316,inf,FEE021,2
