Feature Area,Feature,User Story,Expected Behavior,Source Evidence,Code Owner / Main Files,Test Method,Automated Proof,Computer/UI Proof,Manual Proof Needed,Status,Errors Found,Fix PR / Commit,Retest Result,Notes
Onboarding,First-run permissions walkthrough,"As a new user, I want Transcripted to guide me through required permissions so I can start capture without guessing what macOS needs.","Onboarding shows contextual microphone, Accessibility, system-audio, calendar, model, and agent setup steps; prompts are user-initiated and completion is persisted.",AGENT_START.md; Sources/UI/Settings/PermissionsOnboardingView.swift; Sources/Support/PermissionsOnboardingPreferences.swift; Sources/Support/TranscriptedPermissionKind.swift,Sources/UI/Settings/; Sources/Support/,run-tests.sh filtered policy tests; qa-bench ui when AX permission is available,"PASS: full QA bench qa-20260621-152351; build, fast tests, E2E, slow pasteback, integration, swift test, QA CLI, synthetic audio, release-health fixture, PostHog fixture, local summary plan","PASS: UI bench qa-20260621-153239; transcripted-qa ui-smoke passed 17/17 checks covering onboarding, menu bar, Home, Settings, and navigation; Permission-state after clearing stale app: duplicate instance resolved; Apple Events/System Events warning remained but UI smoke and live smoke passed without blocking these lanes",Real TCC prompt sequence and first-run visual flow,PASS,Initial UI proof blocker fixed: stale Transcripted instance from another worktree was idle and terminated; rerun passed,,PASS: UI blocker fixed by quitting stale app; UI smoke rerun passed qa-20260621-153239,"Privacy note: matrix tracks permission classes only, not local app/user details."
Onboarding,First-run CTA state,"As a new user, I want the first screen to show the right next action based on permissions and model readiness.",CTA copy updates as permissions and local model status change; it does not request protected permissions in the background.,Sources/UI/Shared/FirstRunExperience.swift; Sources/UI/Settings/PermissionsOnboardingView.swift; Sources/Speech/ParakeetPrewarmPolicy.swift,Sources/UI/Shared/; Sources/UI/Settings/; Sources/Speech/,run-tests.sh FirstRunExperienceTests ParakeetPrewarmPolicyTests,"PASS: full QA bench qa-20260621-152351; build, fast tests, E2E, slow pasteback, integration, swift test, QA CLI, synthetic audio, release-health fixture, PostHog fixture, local summary plan","PASS: UI bench qa-20260621-153239; transcripted-qa ui-smoke passed 17/17 checks covering onboarding, menu bar, Home, Settings, and navigation; Permission-state after clearing stale app: duplicate instance resolved; Apple Events/System Events warning remained but UI smoke and live smoke passed without blocking these lanes",Visual first-run state transitions,PASS,Initial UI proof blocker fixed: stale Transcripted instance from another worktree was idle and terminated; rerun passed,,PASS: UI blocker fixed by quitting stale app; UI smoke rerun passed qa-20260621-153239,
Menu Bar,Status item and popover,"As a returning user, I want a menu bar control that exposes core capture actions quickly.","Menu bar popover opens and shows enabled Start Dictation, Start Meeting, paste-last, recent/home, import, agent, updates, settings, feedback, and quit actions as applicable.",README.md; Sources/TranscriptedApp.swift; Sources/UI/MenuBar/MenuBarContentView.swift; Sources/UI/MenuBar/MenuBarPrimaryActionsView.swift,Sources/UI/MenuBar/; Sources/TranscriptedApp.swift,build.sh launch smoke; qa-bench ui; UIAutomationSurfaceContractTests,"PASS: full QA bench qa-20260621-152351; build, fast tests, E2E, slow pasteback, integration, swift test, QA CLI, synthetic audio, release-health fixture, PostHog fixture, local summary plan","PASS: UI bench qa-20260621-153239; transcripted-qa ui-smoke passed 17/17 checks covering onboarding, menu bar, Home, Settings, and navigation; Permission-state after clearing stale app: duplicate instance resolved; Apple Events/System Events warning remained but UI smoke and live smoke passed without blocking these lanes",Actual menu bar click/accessibility surface,PASS,Initial UI proof blocker fixed: stale Transcripted instance from another worktree was idle and terminated; rerun passed,,PASS: UI blocker fixed by quitting stale app; UI smoke rerun passed qa-20260621-153239,
Menu Bar,Model status row,"As a user, I want the menu bar to explain whether local speech models are ready.","Header/model row shows ready, downloading, progress, and error states and links to settings when action is needed.",Sources/UI/MenuBar/MenuBarModelStatusView.swift; Sources/Meeting/MeetingWarmupStatusPolicy.swift; Sources/Support/TranscriptionModelPreferences.swift,Sources/UI/MenuBar/; Sources/Meeting/; Sources/Support/,run-tests.sh MenuBarHeaderLayoutPolicyTests MeetingWarmupStatusPolicyTests,"PASS: full QA bench qa-20260621-152351; build, fast tests, E2E, slow pasteback, integration, swift test, QA CLI, synthetic audio, release-health fixture, PostHog fixture, local summary plan","PASS: UI bench qa-20260621-153239; transcripted-qa ui-smoke passed 17/17 checks covering onboarding, menu bar, Home, Settings, and navigation; Permission-state after clearing stale app: duplicate instance resolved; Apple Events/System Events warning remained but UI smoke and live smoke passed without blocking these lanes",Visual download/progress states with real model cache,PASS,Initial UI proof blocker fixed: stale Transcripted instance from another worktree was idle and terminated; rerun passed,,PASS: UI blocker fixed by quitting stale app; UI smoke rerun passed qa-20260621-153239,
Menu Bar,Import audio entry point,"As a user with an existing recording, I want to import audio from the menu bar and get a normal meeting transcript.",Import action opens file selection and routes selected audio through the meeting transcription/save pipeline.,Sources/TranscriptedMenuCommands.swift; Sources/TranscriptedApp.swift; Sources/UI/Settings/TranscriptedSettingsView.swift; Sources/Meeting/MeetingImportedAudioPreparer.swift; Sources/Meeting/MeetingSessionController.swift,Sources/UI/MenuBar/; Sources/UI/Settings/; Sources/Meeting/,UIAutomationSurfaceContractTests; HomeImportAudioActionTests; MeetingImportedAudioPreparerTests; transcripted-qa imported-audio-smoke; transcripted-qa imported-audio-native-smoke; integration smoke,"PASS: UIAutomationSurfaceContractTests passed 233/233 and pins Capture > Transcribe Audio File plus Cmd-O routing through menuImportAudio/importAudioFileFromSettings; HomeImportAudioActionTests passed 6/6 and pins Settings General Choose action; MeetingImportedAudioPreparerTests passed 58/58 and proves import preparation/copy/date/error handling; full QA bench qa-20260621-152351 also passed build, fast tests, E2E, slow pasteback, integration, swift test, QA CLI, synthetic audio, release-health fixture, PostHog fixture, local summary plan; PASS: transcripted-qa imported-audio-smoke passed 11/11 on 2026-06-22 and proves deterministic imported meeting artifact shape, system_audio-only source metadata, retained single-file audio, parser discovery, and TranscriptedQA transcript validation.","PASS: qa-bench imported-audio-native passed 3/3 at /tmp/transcripted-qa-bench/qa-20260624-055644/qa-report.md; raw transcripted-qa imported-audio-native-smoke also passed 16/16 on 2026-06-24. Native Settings General import action opened NSOpenPanel, selected generated spoken AIFF, saved 2026-06-24 Native Imported Audio Proof.md, retained recording.aiff, recorded sources [system_audio], and TranscriptedQA validated the saved imported transcript. Raw report: /tmp/transcripted-imported-audio-native-smoke.json.","Optional broader manual sweep with arbitrary user media containers remains useful, but native picker selected-audio import UX is now proven by transcripted-qa imported-audio-native-smoke on this Mac.",PASS,Initial blockers were stale Transcripted instance from another worktree and invalid say data-format flag in the new harness; stale instance was terminated and harness fixture generation was fixed. No product failure found.,,"PASS: qa-bench imported-audio-native passed 3/3 at /tmp/transcripted-qa-bench/qa-20260624-055644/qa-report.md; raw transcripted-qa imported-audio-native-smoke also passed 16/16 on 2026-06-24. Native Settings General import action opened NSOpenPanel, selected generated spoken AIFF, saved 2026-06-24 Native Imported Audio Proof.md, retained recording.aiff, recorded sources [system_audio], and TranscriptedQA validated the saved imported transcript. Raw report: /tmp/transcripted-imported-audio-native-smoke.json.",2026-06-24: Added and ran TranscriptedQA imported-audio-native-smoke plus qa-bench --mode imported-audio-native. This closes the native picker selected-audio proof gap without overclaiming arbitrary private media quality.
Dictation,Start and stop dictation,"As a user, I want to start dictation, speak, stop, and get final text.","Dictation starts only when input/model readiness is acceptable, records audio, transcribes locally, and stops cleanly without stuck state.",README.md; Sources/UI/Overlay/DictationSessionController.swift; Sources/Speech/STTRouter.swift; Sources/Speech/ParakeetEngine.swift,Sources/UI/Overlay/; Sources/Speech/,build.sh; run-tests.sh dictation/speech tests; qa-bench full,"PASS: full QA bench qa-20260621-152351; build, fast tests, E2E, slow pasteback, integration, swift test, QA CLI, synthetic audio, release-health fixture, PostHog fixture, local summary plan",UNKNOWN: live capture not run; permission-state live-capture had existing-instance and automation warnings; real mic/system-audio/hardware proof still needed | BLOCKED: real dictation/pasteback feel requires physical key/focused-app/speech UI proof that current automation cannot safely complete without human input.,Real microphone and spoken dictation,BLOCKED,No product failure found in available proof; blocked proof: real dictation/pasteback feel requires physical key/focused-app/speech UI proof that current automation cannot safely complete without human input.,,BLOCKED: real dictation/pasteback feel requires physical key/focused-app/speech UI proof that current automation cannot safely complete without human input.,Reclassified from UNKNOWN to BLOCKED on 2026-06-21 to remove ambiguity without overclaiming manual/hardware proof.
Dictation,Push-to-talk trigger,"As a hands-on user, I want holding the configured key to dictate and releasing it to finish.","Push-to-talk starts on press, stops on release, debounces repeats, and respects configured bindings.",Sources/Capture/ContextCaptureEngine.swift; Sources/Support/HotkeyPreferences.swift; Sources/Support/PhysicalDictationTriggerPreferences.swift,Sources/Capture/; Sources/Support/,run-tests.sh ContextCaptureEnginePolicyTests HotkeyPreferencesTests PhysicalDictationTriggerPreferencesTests,"PASS: full QA bench qa-20260621-152351; build, fast tests, E2E, slow pasteback, integration, swift test, QA CLI, synthetic audio, release-health fixture, PostHog fixture, local summary plan",NOT RUN or not required for this automated story pass | BLOCKED: real dictation/pasteback feel requires physical key/focused-app/speech UI proof that current automation cannot safely complete without human input.,Physical key timing on macOS,BLOCKED,No product failure found in available proof; blocked proof: real dictation/pasteback feel requires physical key/focused-app/speech UI proof that current automation cannot safely complete without human input.,,BLOCKED: real dictation/pasteback feel requires physical key/focused-app/speech UI proof that current automation cannot safely complete without human input.,Reclassified from UNKNOWN to BLOCKED on 2026-06-21 to remove ambiguity without overclaiming manual/hardware proof.
Dictation,Hands-free trigger,"As a user, I want a toggle dictation shortcut for longer dictations.",Hands-free mode toggles recording start/stop with the configured trigger and does not require holding the key.,Sources/Capture/ContextCaptureEngine.swift; Sources/Support/HotkeyPreferences.swift; Sources/UI/Overlay/DictationSessionController.swift,Sources/Capture/; Sources/Support/; Sources/UI/Overlay/,run-tests.sh hotkey and capture policy tests,"PASS: full QA bench qa-20260621-152351; build, fast tests, E2E, slow pasteback, integration, swift test, QA CLI, synthetic audio, release-health fixture, PostHog fixture, local summary plan",NOT RUN or not required for this automated story pass | BLOCKED: real dictation/pasteback feel requires physical key/focused-app/speech UI proof that current automation cannot safely complete without human input.,Physical trigger feel,BLOCKED,No product failure found in available proof; blocked proof: real dictation/pasteback feel requires physical key/focused-app/speech UI proof that current automation cannot safely complete without human input.,,BLOCKED: real dictation/pasteback feel requires physical key/focused-app/speech UI proof that current automation cannot safely complete without human input.,Reclassified from UNKNOWN to BLOCKED on 2026-06-21 to remove ambiguity without overclaiming manual/hardware proof.
Dictation,Paste-last-dictation shortcut,"As a user, I want to paste my newest saved dictation again without re-recording.",Paste-last shortcut reads the newest saved dictation and uses the paste helper without depending on dictation recording being enabled.,Sources/Capture/ContextCaptureEngine.swift; Sources/Dictation/DictationTranscriptStore.swift; Sources/Support/PhysicalDictationTriggerPreferences.swift,Sources/Capture/; Sources/Dictation/; Sources/Support/,run-tests.sh DictationTranscriptStoreTests ContextCaptureEnginePolicyTests,"PASS: full QA bench qa-20260621-152351; build, fast tests, E2E, slow pasteback, integration, swift test, QA CLI, synthetic audio, release-health fixture, PostHog fixture, local summary plan",NOT RUN or not required for this automated story pass | BLOCKED: real dictation/pasteback feel requires physical key/focused-app/speech UI proof that current automation cannot safely complete without human input.,Real focused-app paste behavior,BLOCKED,No product failure found in available proof; blocked proof: real dictation/pasteback feel requires physical key/focused-app/speech UI proof that current automation cannot safely complete without human input.,,BLOCKED: real dictation/pasteback feel requires physical key/focused-app/speech UI proof that current automation cannot safely complete without human input.,Reclassified from UNKNOWN to BLOCKED on 2026-06-21 to remove ambiguity without overclaiming manual/hardware proof.
Dictation,No-speech handling,"As a user, I want silence or accidental taps to fail clearly without pasting junk.","No-speech and too-short audio show clear copy, do not auto-send, and do not create misleading artifacts.",Sources/UI/Overlay/DictationNoSpeechPresentationPolicy.swift; Sources/Speech/ParakeetShortAudioGate.swift; Sources/Speech/DictationAudioRecovery.swift,Sources/UI/Overlay/; Sources/Speech/,run-tests.sh DictationNoSpeechPresentationPolicyTests ParakeetShortAudioGateTests DictationAudioRecoveryTests,"PASS: full QA bench qa-20260621-152351; build, fast tests, E2E, slow pasteback, integration, swift test, QA CLI, synthetic audio, release-health fixture, PostHog fixture, local summary plan",NOT RUN or not required for this automated story pass | BLOCKED: real dictation/pasteback feel requires physical key/focused-app/speech UI proof that current automation cannot safely complete without human input.,Real short/silent recording UX,BLOCKED,No product failure found in available proof; blocked proof: real dictation/pasteback feel requires physical key/focused-app/speech UI proof that current automation cannot safely complete without human input.,,BLOCKED: real dictation/pasteback feel requires physical key/focused-app/speech UI proof that current automation cannot safely complete without human input.,Reclassified from UNKNOWN to BLOCKED on 2026-06-21 to remove ambiguity without overclaiming manual/hardware proof.
